number_of_previous_reports,verified_report_count,transaction_price,reference_market_price,price_deviation_percentage,imei_status,seller_report_frequency,information_completeness,risk_label
6.0,1.0,51274.92,38989.36676640429,31.51,3.0,4.442591231819197,0.37590716009061953,2
3.0,1.0,21531.2,23870.51158840706,9.8,1.0,1.7099371958133103,0.4395546935218473,1
7.0,0.0,123152.36,126778.21416514658,2.86,4.0,5.185578852051284,0.8624265181025839,2
4.0,0.0,114958.82,105052.37648093054,9.43,2.0,3.3771676781920053,0.7565890925622003,2
1.0,1.0,48715.71,55226.96534898203,11.79,0.0,0.3151628300846798,0.9599890436762695,1
8.0,1.0,50309.09,65626.2610422147,23.34,4.0,5.172035799883622,0.8747478475560246,2
5.0,1.0,105105.28,84496.56366826792,24.39,3.0,4.198930293776363,0.5815541582336806,2
5.0,0.0,85537.54,104148.96190327607,17.87,3.0,4.204191879150077,0.8503443052984603,2
0.0,0.0,97385.87,84149.20412679837,15.73,0.0,0.06316566403452212,0.703500434724182,1
3.0,0.0,141050.39,83585.41769633365,68.75,1.0,1.6147769647350891,0.500410757977481,2
3.0,0.0,26800.58,31989.23414915706,16.22,1.0,1.768765140801252,0.9825625193350174,1
7.0,1.0,129259.03,174462.1794685152,25.91,4.0,5.3909135761392495,0.9499436953478895,2
4.0,1.0,140425.62,125739.27553783791,11.68,2.0,3.2095241422146104,0.37853891765472025,1
5.0,1.0,24611.59,37759.415074382254,34.82,3.0,4.191676399792979,0.8875950371645551,2
3.0,2.0,90155.88,90536.1365468078,0.42,1.0,1.8252580767652586,0.3543807038321419,1
0.0,0.0,111371.94,89176.02328561364,24.89,0.0,0.07862693194010645,0.9501734356403337,1
4.0,1.0,128884.1,124117.96691293332,3.84,2.0,3.1903751622085514,0.736916229969429,1
0.0,0.0,75800.76,125685.227391373,39.69,0.0,0.10406811809849692,0.416607571113132,1
5.0,0.0,97388.98,132592.20602615486,26.55,3.0,4.325823117163957,0.8720837050655563,2
5.0,2.0,142302.12,142601.58089532342,0.21,2.0,3.056182007458039,0.6610472885344552,1
5.0,1.0,34625.22,29637.268764513123,16.83,3.0,4.223911409801222,0.3416849122762967,2
2.0,2.0,64701.5,67935.21810883429,4.76,1.0,1.7980910285462042,0.8588991693542136,1
8.0,2.0,17126.69,13296.08564280775,28.81,4.0,5.41683772143912,0.8518367322924305,2
7.0,2.0,85972.64,96381.88729527275,10.8,4.0,5.3622756382130525,0.6374419627951029,2
5.0,2.0,44211.32,91591.7147877546,51.73,3.0,4.4714315605069315,0.8117767665459839,2
1.0,0.0,228843.6,149522.11673410094,53.05,0.0,0.3399392036264727,0.3281038303091474,2
3.0,0.0,44695.75,41752.21985549362,7.05,1.0,1.67459481745009,0.5226746177703362,1
0.0,0.0,147947.73,129983.94685384707,13.82,0.0,0.115861941257211,0.7712556677926937,1
0.0,0.0,88610.1,68271.89760672892,29.79,0.0,0.02829120182942013,0.4614240078672922,1
5.0,0.0,58059.1,82564.13021384284,29.68,2.0,3.138793808354983,0.6152879657699223,2
5.0,2.0,98558.55,146664.5038505763,32.8,3.0,4.0684243444233505,0.9523627311523071,2
8.0,0.0,16183.21,23594.129228979313,31.41,4.0,5.184612388870841,0.8787262450011277,2
3.0,2.0,69982.43,75128.74889692088,6.85,1.0,1.8512890696263027,0.6905975833638941,1
2.0,0.0,79577.12,84351.41372653385,5.66,1.0,1.8460170121065729,0.7037014316051542,1
3.0,1.0,145583.59,145992.36925181706,0.28,1.0,1.659083214681971,0.9209042121120672,1
0.0,0.0,76396.74,47852.63886343312,59.65,0.0,0.25427618530804397,0.9041413714718964,2
1.0,1.0,180964.07,190008.468801188,4.76,0.0,0.10838578490089956,0.36180771406807777,1
2.0,2.0,161994.84,199574.77103089006,18.83,1.0,1.7514883592670092,0.6259041663484959,1
0.0,0.0,203596.5,165592.9267558105,22.95,0.0,0.25504093811505707,0.43359755750000845,1
5.0,2.0,50289.37,66945.37527807034,24.88,2.0,3.150648419459201,0.358253829961488,2
3.0,1.0,116504.05,136134.66427384238,14.42,1.0,1.629733898120295,0.5046768560742472,1
5.0,2.0,28349.56,25798.12602260728,9.89,3.0,4.4897872319908405,0.7274506637417153,2
6.0,1.0,241248.84,175543.06998423702,37.43,3.0,4.268561755549377,0.8560592245995711,2
2.0,2.0,123995.95,108038.645539452,14.77,1.0,1.781038315788658,0.9387334586680167,1
5.0,2.0,50369.68,43523.44160075929,15.73,3.0,4.003897045184031,0.5960692943517258,2
5.0,0.0,94687.85,72209.14631672349,31.13,3.0,4.090920390817725,0.5956261513177663,2
2.0,1.0,248011.06,162141.12145271522,52.96,1.0,1.6783109809100114,0.4072767834944421,2
1.0,1.0,249530.75,175343.08581113882,42.31,0.0,0.4829903712593843,0.43638889867847,1
5.0,0.0,98186.35,108745.54351754046,9.71,2.0,3.087620867143529,0.37174642349056986,2
1.0,1.0,120052.89,101259.1850590279,18.56,0.0,0.15164485566343383,0.9831303824253497,1
0.0,0.0,159218.37,152639.60184511926,4.31,0.0,0.4950784968924896,0.38931820549080465,1
1.0,1.0,167543.75,166976.02827852542,0.34,0.0,0.24055432116794806,0.8296497154086866,0
5.0,2.0,146234.62,155320.8943552059,5.85,3.0,4.159203887735114,0.5224350031167476,2
5.0,0.0,104374.65,83041.32954449946,25.69,2.0,3.31717946024341,0.6760034596292183,2
6.0,2.0,95622.49,131965.89470577068,27.54,3.0,4.248151142258222,0.9108971484729844,2
6.0,0.0,127892.93,172898.38257147625,26.03,3.0,4.478724545820729,0.9553172160319401,2
3.0,1.0,48780.04,38834.520469009716,25.61,1.0,1.5415975239960227,0.4681612232060892,1
4.0,2.0,76200.46,83745.970171843,9.01,2.0,3.3952739602588307,0.9378885823520586,1
1.0,0.0,14382.93,20757.587936300293,30.71,0.0,0.1395431892314925,0.47643670407942595,1
1.0,0.0,86625.68,87686.68428060599,1.21,0.0,0.4033346654951158,0.8633580418410749,0
4.0,1.0,150244.83,156733.5959445433,4.14,2.0,3.4238601702914333,0.31067526380094157,1
3.0,1.0,56761.2,47435.40425086162,19.66,1.0,1.9246114290116991,0.6746620333883311,1
4.0,0.0,137628.71,112958.5587136329,21.84,2.0,3.433347849444211,0.8080688806633711,2
5.0,1.0,17203.86,16951.289350147155,1.49,3.0,4.3590637533915455,0.8872572782287693,2
5.0,0.0,132580.43,180553.49823901505,26.57,2.0,3.07120207335743,0.8887902204762872,2
5.0,0.0,173891.98,165800.89203108576,4.88,2.0,3.0259512967493887,0.5092074833940679,1
4.0,0.0,110295.57,109637.74643954252,0.6,2.0,3.170382621890429,0.8972047266366927,1
3.0,0.0,123824.73,144099.52923467048,14.07,1.0,1.7475349293055387,0.5265529194274909,1
1.0,1.0,29797.61,29744.071325083194,0.18,0.0,0.1513104503697763,0.4636371574841771,0
